match_id,team1,team2,date,group
M-2026-01,Mexico,South Africa,12.6.2026,A
M-2026-02,South Korea,Czech Republic,12.6.2026,A
M-2026-03,Canada,Bosnia and Herzegovina,13.6.2026,B
M-2026-04,United States,Paraguay,13.6.2026,D
M-2026-05,Qatar,Switzerland,14.6.2026,B
M-2026-06,Brazil,Morocco,14.6.2026,C
M-2026-07,Haiti,Scotland,14.6.2026,C
M-2026-08,Australia,Turkey,14.6.2026,D
M-2026-09,Germany,Curacao,15.6.2026,E
M-2026-10,Netherlands,Japan,15.6.2026,F
M-2026-11,Ivory Coast,Ecuador,15.6.2026,E
M-2026-12,Sweden,Tunisia,15.6.2026,F
M-2026-13,Spain,Cape Verde,15.6.2026,H
M-2026-14,Belgium,Egypt,16.6.2026,G
M-2026-15,Saudi Arabia,Uruguay,16.6.2026,H
M-2026-16,Iran,New Zealand,16.6.2026,G
M-2026-17,France,Senegal,17.6.2026,I
M-2026-18,Iraq,Norway,17.6.2026,I
M-2026-19,Argentina,Algeria,17.6.2026,J
M-2026-20,Austria,Jordan,17.6.2026,J
M-2026-21,Portugal,Kongo,18.6.2026,K
M-2026-22,England,Croatia,18.6.2026,L
M-2026-23,Ghana,Panama,18.6.2026,L
M-2026-24,Usbekistan,Colombia,18.6.2026,K
M-2026-25,Czech Republic,South Africa,18.6.2026,A
M-2026-26,Switzerland,Bosnia and Herzegovina,19.6.2026,B
M-2026-27,Canada,Qatar,19.6.2026,B
M-2026-28,Mexico,South Korea,19.6.2026,A
M-2026-29,United States,Australia,20.6.2026,D
M-2026-30,Scotland,Morocco,20.6.2026,C
M-2026-31,Brazil,Haiti,20.6.2026,C
M-2026-32,Turkey,Paraguay,20.6.2026,D
M-2026-33,Netherlands,Sweden,21.6.2026,F
M-2026-34,Germany,Ivory Coast,21.6.2026,E
M-2026-35,Ecuador,Curacao,21.6.2026,E
M-2026-36,Tunisia,Japan,21.6.2026,F
M-2026-37,Spain,Saudi Arabia,21.6.2026,H
M-2026-38,Belgium,Iran,22.6.2026,G
M-2026-39,Uruguay,Cape Verde,22.6.2026,H
M-2026-40,New Zealand,Egypt,22.6.2026,G
M-2026-41,Argentina,Austria,23.6.2026,J
M-2026-42,France,Iraq,23.6.2026,I
M-2026-43,Norway,Senegal,23.6.2026,I
M-2026-44,Jordan,Algeria,23.6.2026,J
M-2026-45,Portugal,Usbekistan,24.6.2026,K
M-2026-46,England,Ghana,24.6.2026,L
M-2026-47,Panama,Croatia,24.6.2026,L
M-2026-48,Colombia,Kongo,24.6.2026,K
M-2026-49,Switzerland,Canada,25.6.2026,B
M-2026-50,Bosnia and Herzegovina,Qatar,25.6.2026,B
M-2026-51,Morocco,Haiti,25.6.2026,C
M-2026-52,Scotland,Brazil,25.6.2026,C
M-2026-53,South Africa,South Korea,25.6.2026,A
M-2026-54,Czech Republic,Mexico,25.6.2026,A
M-2026-55,Curacao,Ivory Coast,26.6.2026,E
M-2026-56,Ecuador,Germany,26.6.2026,E
M-2026-57,Tunisia,Netherlands,26.6.2026,F
M-2026-58,Japan,Sweden,26.6.2026,F
M-2026-59,Turkey,United States,26.6.2026,D
M-2026-60,Paraguay,Australia,26.6.2026,D
M-2026-61,Norway,France,27.6.2026,I
M-2026-62,Senegal,Iraq,27.6.2026,I
M-2026-63,Cape Verde,Saudi Arabia,27.6.2026,H
M-2026-64,Uruguay,Spain,27.6.2026,H
M-2026-65,New Zealand,Belgium,27.6.2026,G
M-2026-66,Egypt,Iran,27.6.2026,G
M-2026-67,Panama,England,28.6.2026,L
M-2026-68,Croatia,Ghana,28.6.2026,L
M-2026-69,Colombia,Portugal,28.6.2026,K
M-2026-70,Kongo,Usbekistan,28.6.2026,K
M-2026-71,Algeria,Austria,28.6.2026,J
M-2026-72,Jordan,Argentina,28.6.2026,J
