team,total_goals,num_players_with_goals,max_goals_by_single_player,total_matches,matches_with_goals,matches_without_goals,avg_goals_per_match
Algeria,7,5,2,7,4,3,1.0
Angola,1,1,1,3,1,2,0.3333333333333333
Argentina,52,22,13,31,25,6,1.6774193548387097
Australia,17,10,5,17,12,5,1.0
Belgium,29,16,5,19,14,5,1.5263157894736843
Bosnia and Herzegovina,4,4,1,3,2,1,1.3333333333333333
Brazil,64,30,11,34,29,5,1.8823529411764706
Cameroon,9,6,3,12,7,5,0.75
Canada,2,2,1,3,2,1,0.6666666666666666
Chile,9,7,2,8,6,2,1.125
Colombia,18,8,6,9,9,0,2.0
Costa Rica,18,13,3,17,11,6,1.0588235294117647
Croatia,32,19,6,23,16,7,1.391304347826087
Czech Republic,3,2,2,3,1,2,1.0
Denmark,12,7,5,14,9,5,0.8571428571428571
Ecuador,14,6,6,13,9,4,1.0769230769230769
Egypt,2,1,2,3,2,1,0.6666666666666666
England,42,26,8,29,22,7,1.4482758620689655
France,50,24,12,32,22,10,1.5625
Germany,70,28,16,34,28,6,2.0588235294117645
Ghana,18,9,6,15,11,4,1.2
Greece,5,5,1,7,3,4,0.7142857142857143
Honduras,1,1,1,6,1,5,0.16666666666666666
Iceland,2,2,1,3,2,1,0.6666666666666666
Iran,9,8,2,12,7,5,0.75
Italy,23,16,4,17,15,2,1.3529411764705883
Ivory Coast,13,9,2,9,8,1,1.4444444444444444
Japan,24,17,4,22,15,7,1.0909090909090908
Mexico,23,15,4,23,15,8,1.0
Morocco,8,6,3,10,5,5,0.8
Netherlands,40,18,6,23,18,5,1.7391304347826086
New Zealand,2,2,1,3,2,1,0.6666666666666666
Nigeria,10,6,4,13,7,6,0.7692307692307693
North Korea,1,1,1,3,1,2,0.3333333333333333
Panama,2,2,1,3,2,1,0.6666666666666666
Paraguay,11,9,3,12,6,6,0.9166666666666666
Peru,2,2,1,3,1,2,0.6666666666666666
Poland,10,8,2,13,6,7,0.7692307692307693
Portugal,42,24,8,26,18,8,1.6153846153846154
Qatar,1,1,1,3,1,2,0.3333333333333333
Republic of Ireland,6,4,3,4,4,0,1.5
Russia,17,12,4,11,8,3,1.5454545454545454
Saudi Arabia,7,5,3,12,4,8,0.5833333333333334
Senegal,16,13,3,12,8,4,1.3333333333333333
Serbia,9,7,3,9,6,3,1.0
Serbia and Montenegro,2,2,1,3,1,2,0.6666666666666666
Slovakia,5,2,4,4,3,1,1.25
Slovenia,5,5,1,6,4,2,0.8333333333333334
South Africa,8,8,1,6,5,1,1.3333333333333333
South Korea,28,18,3,24,18,6,1.1666666666666667
Spain,47,23,9,27,23,4,1.7407407407407407
Sweden,14,10,4,13,10,3,1.0769230769230769
Switzerland,22,14,5,19,12,7,1.1578947368421053
Togo,1,1,1,3,1,2,0.3333333333333333
Tunisia,10,8,3,12,7,5,0.8333333333333334
Turkey,10,6,3,7,6,1,1.4285714285714286
Ukraine,5,4,2,5,2,3,1.0
United States,22,14,5,20,16,4,1.1
Uruguay,28,12,7,22,16,6,1.2727272727272727
Wales,1,1,1,3,1,2,0.3333333333333333
